# All functions Ghidra discovered.
# entry                section     size    name
0x000000018009fa30  .text            1  FUN_18009fa30
0x000000018009fcb0  .text            1  FUN_18009fcb0
0x000000018009ff40  .text            1  FUN_18009ff40
0x00000001800a01f0  .text            1  FUN_1800a01f0
0x00000001800a0270  .text            1  FUN_1800a0270
0x00000001800a0290  .text            1  FUN_1800a0290
0x00000001800a0311  .text            1  FUN_1800a0311
0x00000001800a0320  .text            1  FUN_1800a0320
0x00000001800a03e0  .text            1  FUN_1800a03e0
0x00000001800a0480  .text            1  FUN_1800a0480
0x00000001800a0496  .text            1  FUN_1800a0496
0x00000001800a04c1  .text            1  FUN_1800a04c1
0x00000001800a0507  .text            1  FUN_1800a0507
0x00000001800a052f  .text            1  FUN_1800a052f
0x00000001800a0560  .text            1  FUN_1800a0560
0x00000001800a0588  .text            1  FUN_1800a0588
0x00000001800a05d8  .text            1  FUN_1800a05d8
0x00000001800a0620  .text            1  FUN_1800a0620
0x00000001800a0990  .text            1  FUN_1800a0990
0x00000001800a0c00  .text            1  FUN_1800a0c00
0x00000001800a0c30  .text            1  FUN_1800a0c30
0x00000001800a0c60  .text            1  FUN_1800a0c60
0x00000001800a0e70  .text            1  FUN_1800a0e70
0x00000001800a1170  .text            1  FUN_1800a1170
0x00000001800a1250  .text            1  FUN_1800a1250
0x00000001800a1420  .text            1  FUN_1800a1420
0x00000001800a1630  .text            1  FUN_1800a1630
0x00000001800a1840  .text            1  FUN_1800a1840
0x00000001800a1d70  .text            1  FUN_1800a1d70
0x00000001800a2130  .text            1  FUN_1800a2130
0x00000001800a2670  .text            1  FUN_1800a2670
0x00000001800a2a40  .text            1  FUN_1800a2a40
0x00000001800a2f70  .text            1  FUN_1800a2f70
0x00000001800a3320  .text            1  FUN_1800a3320
0x00000001800a335e  .text            1  FUN_1800a335e
0x00000001800a3382  .text            1  FUN_1800a3382
0x00000001800a33b0  .text            1  FUN_1800a33b0
0x00000001800a33ee  .text            1  FUN_1800a33ee
0x00000001800a3412  .text            1  FUN_1800a3412
0x00000001800a3440  .text            1  FUN_1800a3440
0x00000001800a347e  .text            1  FUN_1800a347e
0x00000001800a34a2  .text            1  FUN_1800a34a2
0x00000001800a34d0  .text            1  FUN_1800a34d0
0x00000001800a3500  .text            1  FUN_1800a3500
0x00000001800a3530  .text            1  FUN_1800a3530
0x00000001800a3880  .text            1  FUN_1800a3880
0x00000001800a3940  .text            1  FUN_1800a3940
0x00000001800a395b  .text            1  FUN_1800a395b
0x00000001800a39a8  .text            1  FUN_1800a39a8
